,Civilité,Year,Type,section,Nationalité,ISO_code
0,Miss,2009-2010,Bachelor,Physics,Tunisian,
1,Miss,2009-2010,Bachelor,Mathematics,Swiss,
2,Mister,2009-2010,Bachelor,Microengineering,Swiss,
3,Mister,2009-2010,Bachelor,Architecture,Swiss,
4,Mister,2009-2010,Bachelor,Microengineering,Swiss,
5,Mister,2009-2010,Master,Civil Engineering,Swiss,
6,Mister,2009-2010,Master,Financial engineering,Swiss,
7,Mister,2009-2010,Master,Communication Systems,Spanish,
8,Mister,2009-2010,Bachelor,Microengineering,Spanish,
9,Mister,2009-2010,Bachelor,Life Sciences and Technologies,Swiss,
10,Mister,2009-2010,Master,Architecture,Belgian,
11,Mister,2009-2010,Master,Architecture,Tunisian,
12,Miss,2009-2010,Master,Architecture,Swiss,
13,Mister,2009-2010,Master,Architecture,Chinese,
14,Mister,2009-2010,Master,Physics,Swiss,
15,Mister,2009-2010,Master,Mathematics,Swiss,
16,Mister,2009-2010,Master,Computer Science,French,
17,Mister,2009-2010,Master,Architecture,French,
18,Mister,2009-2010,Bachelor,Computer Science,Swiss,
19,Mister,2009-2010,Master,Architecture,Swiss,
20,Mister,2009-2010,Master,Physics,Swiss,
21,Miss,2009-2010,Bachelor,Mathematics,Swiss,
22,Miss,2009-2010,Master,Molecular & Biological Chemistry,Swiss,
23,Miss,2009-2010,Master,Architecture,Swiss,
24,Mister,2009-2010,Master,Bioengineering,Tunisian,
25,Miss,2009-2010,Master,Bioengineering,British,
26,Mister,2009-2010,Master,Communication Systems,Chinese,
27,Mister,2009-2010,Bachelor,Architecture,Swiss,
28,Mister,2009-2010,Master,Electrical and Electronics Engineering,Swiss,
29,Mister,2009-2010,Master,Computer Science,Swiss,
30,Mister,2009-2010,Master,Financial engineering,Tunisian,
31,Mister,2009-2010,Master,Architecture,French,
32,Mister,2009-2010,Master,Communication Systems,Swiss,
33,Mister,2009-2010,Master,Communication Systems,Swiss,
34,Miss,2009-2010,Master,Mathematics,Swiss,
35,Mister,2009-2010,Master,Computer Science,Swiss,
36,Mister,2009-2010,Master,Chemical Engineering and Biotechnology,Swiss,
37,Miss,2009-2010,Master,Architecture,Swiss,
38,Mister,2009-2010,Master,Computer Science,Cameroonian,
